Category,Price,Model,Id,Miles,Link
CB600F,21000,1998,1401245633,0,/annons/sodermanland/honda_cb600f_hornet/1401245633
CB600F,27500,1998,1001758927,0,/annons/skaraborg/honda_cb600f_hornet_94hk_yoshimura_led_nybes_rantefri_avbet/1001758927
CB600F,36000,2009,1401022161,0,/annons/stockholm/honda_hornet_cb600f/1401022161
CB600F,47000,2010,1401198283,0,/annons/vasterbotten/honda_hornet_cb600f/1401198283
CB600F,27000,2006,1400915227,0,/annons/vasterbotten/honda_cb600f_hornet/1400915227
CB600F,25000,2001,1401071877,0,/annons/blekinge/honda_hornet_cb600f/1401071877
CB600F,28000,2002,1401071562,0,/annons/stockholm/honda_hornet_cb600f/1401071562
CB600F,27000,2005,1401068488,0,/annons/orebro/honda_cb600f_hornet_2005_byte_mot_bil_kan_va_av_intresse/1401068488
CB600F,29900,2007,1001510941,0,/annons/alvsborg/honda_powersports_cb600f_hornet_0_6_nybesiktigad_sportavgass/1001510941
CB600F,29900,2001,1001391993,0,/annons/skane/honda_powersports_cb600f_hornet_600/1001391993
CB600F,45900,2004,109206161,0,/annons/sodermanland/honda_cb600f_hornet_cbf600sa/109206161
G310R,52900,2023,1001782448,0,/annons/dalarna/bmw_g310r_style_passion/1001782448
G310R,49900,2023,1001502511,0,/annons/goteborg/bmw_g310r/1001502511
G310R,45000,2021,1401241467,0,/annons/vasternorrland/bmw_g310r/1401241467
G310R,42000,2019,1401229181,0,/annons/blekinge/bmw_g310r/1401229181
G310R,37000,2019,1401227515,0,/annons/stockholm/bmw_g310r_i_absolut_toppskick_hostpris/1401227515
G310R,60195,2024,1001253360,0,/annons/vasterbotten/bmw_g310r_nyhet_2024_snabb_hemleverans_5_45_/1001253360
G310R,60195,2024,105490193,0,/annons/vasterbotten/bmw_g310r_snabb_hemleverans_5_45_/105490193
G310R,62845,2024,1001584818,0,/annons/goteborg/bmw_g310r_rantefri_avbetalning_24man/1001584818
G310R,40000,2021,1401178361,0,/annons/stockholm/bmw_g310r_2021_laga_mil_nyskick_nyligen_servad/1401178361
G310R,56900,2023,1001493186,0,/annons/vasterbotten/bmw_g310r_snabb_hemleverans_5_45_/1001493186
G310R,56900,2023,1001493137,0,/annons/vasterbotten/bmw_g310r_snabb_hemleverans_5_45_/1001493137
G310R,55900,2024,105341245,0,/annons/vasternorrland/bmw_g310r_2024_0_ranta_omgaende_leverans_/105341245
G310R,47900,2023,1001699187,0,/annons/dalarna/bmw_g310r_demo/1001699187
G310R,40000,2022,1401104288,0,/annons/stockholm/bwm_g310r_2022_abs_a2/1401104288
G310R,32000,2018,1401081510,0,/annons/stockholm/bmw_g310r/1401081510
G310R,44900,2023,1001592265,0,/annons/dalarna/bmw_g310r/1001592265
G310R,49900,2023,1001451647,0,/annons/stockholm/bmw_g_310_r_passion_lagerrensningskampanj/1001451647
G310R,49800,2023,1001691076,0,/annons/skane/bmw_g_310_r_6_25_sommarkampanj/1001691076
G310R,56000,2024,1401162006,0,/annons/halland/bmw_g_310_r_motorcykel/1401162006
G310R,49900,2023,1000682549,0,/annons/stockholm/bmw_g_310_r_style_sport_demo/1000682549
G310R,44900,2020,1001526201,0,/annons/kalmar/bmw_g_310_r_alternativ_1_mc/1001526201
G310R,61195,2024,107851297,0,/annons/goteborg/bmw_g310r_rantefri_avbetalning_upp_till_24_man/107851297
G310R,61195,2024,107869815,0,/annons/goteborg/bmw_g310r_rantefri_avbetalning_upp_till_24_man/107869815
FZ6-N,25000,2007,1401231817,0,/annons/stockholm/yamaha_fz6_n/1401231817
FZ6-N,42000,2008,1401223496,0,/annons/stockholm/yamaha_fz6_n_s2/1401223496
FZ6-N,34000,2007,1401196080,0,/annons/uppsala/yamaha_fz6_n/1401196080
FZ6-N,32000,2008,1401181264,0,/annons/goteborg/yamaha_fz6_n/1401181264
FZ6-N,42000,2008,1401130005,0,/annons/stockholm/yamaha_fz6_n/1401130005
FZ6-N,43999,2008,1401116364,0,/annons/ostergotland/yamaha_fz6_n_maste_ses_/1401116364
FZ6-N,31000,2007,1401020795,0,/annons/jonkoping/yamaha_fz6_n_/1401020795
FZ6-N,50000,2009,1401051794,0,/annons/stockholm/yamaha_fz_6n_s2_abs/1401051794
ER-6f,49900,2010,1001774939,0,/annons/halland/kawasaki_ninja_er_6f_abs_650cc_1828_mil/1001774939
ER-6f,40000,2010,1401238609,0,/annons/stockholm/kawasaki_er_6f/1401238609
ER-6f,49000,2016,1401237158,0,/annons/gotland/kawasaki_er_6f_a2/1401237158
ER-6f,38000,2010,1401225877,0,/annons/varmland/kawasaki_er_6f_a2/1401225877
ER-6f,47900,2012,1001759434,0,/annons/dalarna/kawasaki_er_6f_fri_frakt/1001759434
ER-6f,34000,2006,1401079265,0,/annons/ostergotland/kawasaki_er_6f_a2/1401079265
ER-6f,45000,2011,1401223841,0,/annons/alvsborg/kawasaki_er_6f_abs_a2/1401223841
ER-6f,40000,2010,1401205937,0,/annons/skane/kawasaki_er_6f_ninja_650_/1401205937
ER-6f,19000,2006,1401197499,0,/annons/skane/kawasaki_er_6f/1401197499
ER-6f,59900,2016,1001722575,0,/annons/goteborg/kawasaki_ninja_er_6f_abs_mivv_tail_tidy_handtagsvarme/1001722575
ER-6f,52000,2015,1001693921,0,/annons/goteborg/kawasaki_ninja_er_6f_0_65/1001693921
ER-6f,59900,2010,1001685683,0,/annons/stockholm/kawasaki_ninja_er_6f_0_65_lag_mil/1001685683
ER-6f,32000,2008,1401146826,0,/annons/uppsala/kawasaki_er_6f_abs_motorcykel_a_/1401146826
ER-6f,38000,2007,1401136173,0,/annons/skane/kawasaki_er_6f_lagmilare_/1401136173
ER-6f,49900,2012,1001187251,0,/annons/stockholm/kawasaki_ninja_er_6f_72hk_abs_packbox_nybesiktigad/1001187251
CB650F,47900,2014,1001780926,0,/annons/goteborg/honda_cb650f_35kw_mellanklass_a2_godkand_/1001780926
CB650F,62000,2018,1401237762,0,/annons/skaraborg/honda_cb650f_a2/1401237762
CB650F,39900,2015,1401211158,0,/annons/vasterbotten/honda_cb650f_abs_15_byte_/1401211158
CB650F,60000,2015,1401224673,0,/annons/skane/honda_cb650f/1401224673
CB650F,45000,2015,1401207173,0,/annons/blekinge/honda_cb650f_abs/1401207173
CB650F,55000,2018,1401199832,0,/annons/jamtland/honda_cb650f/1401199832
CB650F,49900,2015,1401197285,0,/annons/uppsala/honda_cb650f/1401197285
CB650F,54900,2016,1001730224,0,/annons/skane/honda_cb650f/1001730224
CB650F,55000,2016,1401196057,0,/annons/stockholm/honda_cb650f/1401196057
CB650F,59900,2017,1001714600,0,/annons/stockholm/honda_cb650f/1001714600
CB650F,43000,2015,1401125303,0,/annons/skaraborg/honda_cb650f/1401125303
CB650F,57000,2017,1401124320,0,/annons/vasterbotten/honda_cb650f/1401124320
CB650F,67900,2018,1001221289,0,/annons/skane/honda_cb650f/1001221289
CB650F,57900,2017,1401096171,0,/annons/sodermanland/honda_cb650f/1401096171
CB650F,57000,2017,1401092898,0,/annons/skane/honda_cb650f/1401092898
CB650F,54000,2017,1401046211,0,/annons/orebro/honda_cb650f/1401046211
CB650F,57000,2017,1401036901,0,/annons/goteborg/honda_cb650f/1401036901
CB650F,64900,2018,100831858,0,/annons/uppsala/honda_powersports_cb650f_cb650f_0_65_90hk/100831858
CB650F,69900,2017,1001645511,0,/annons/skane/honda_cb_650_f/1001645511
MT-03,49900,2020,1001788264,0,/annons/alvsborg/yamaha_mt_03_abs_349_man_tail_tidy_m_m_/1001788264
MT-03,54900,2022,1001780942,0,/annons/goteborg/yamaha_mt_03_endast_350mil_/1001780942
MT-03,39000,2017,1401240583,0,/annons/halland/yamaha_mt_03_a2/1401240583
MT-03,45000,2019,1401222160,0,/annons/goteborg/yamaha_mt_03/1401222160
MT-03,67375,2023,106371430,0,/annons/vastmanland/yamaha_mt_03_abs_a2_trafikskola_str/106371430
MT-03,64900,2023,106832686,0,/annons/vastmanland/yamaha_ny_mt_03_abs_rea_spara_9000kr/106832686
MT-03,66900,2024,1001739139,0,/annons/vastmanland/yamaha_demo_mt_03_abs_spara_8000kr/1001739139
MT-03,62900,2022,1001723366,0,/annons/stockholm/yamaha_mt_03/1001723366
MT-03,39900,2007,1001701634,0,/annons/vasterbotten/yamaha_mt_03_kop_online/1001701634
MT-03,36000,2015,1401198685,0,/annons/uppsala/yamaha_mt_03/1401198685
MT-03,29000,2008,1401193885,0,/annons/stockholm/yamaha_mt_03/1401193885
MT-03,74900,2024,1001010639,0,/annons/blekinge/yamaha_mt_03_forhandsboka_nu_/1001010639
MT-03,65900,2022,98836418,0,/annons/blekinge/yamaha_mt_03_abs_kampanj_omgaende_leverans_/98836418
MT-03,59900,2022,1001685494,0,/annons/skane/yamaha_mt_03_fabriksny_full_garanti/1001685494
MT-03,51000,2019,1401145051,0,/annons/uppsala/yamaha_mt_03_a2_/1401145051
MT-03,74900,2024,1000711316,0,/annons/stockholm/yamaha_mt_03/1000711316
MT-03,60000,2022,1401138819,0,/annons/stockholm/yamaha_mt_03_/1401138819
MT-03,54900,2022,1401043345,0,/annons/alvsborg/yamaha_mt_03_/1401043345
MT-03,54900,2020,1001592574,0,/annons/norrbotten/yamaha_mt_03/1001592574
MT-03,43000,2017,1401015817,0,/annons/stockholm/yamaha_mt_03_/1401015817
MT-03,74900,2024,1001496023,0,/annons/orebro/yamaha_mt_03_a2_/1001496023
MT-03,49900,2020,1001468162,0,/annons/orebro/yamaha_mt_03_42hk_400_mil/1001468162
MT-03,67900,2024,1001437861,0,/annons/jonkoping/yamaha_mt_03_2024_summer_sale/1001437861
MT-03,59900,2023,1001430725,0,/annons/skane/yamaha_mt_03/1001430725
MT-03,74900,2024,1001406716,0,/annons/skaraborg/yamaha_mt_03_forhandsboka_din_2024_/1001406716
MT-03,74900,2024,1001406715,0,/annons/skaraborg/yamaha_mt_03_forhandsboka_din_2024_/1001406715
MT-03,74900,2024,1001406706,0,/annons/skaraborg/yamaha_mt_03_forhandsboka_din_2024_/1001406706
MT-03,74900,2024,1001366541,0,/annons/stockholm/yamaha_mt_03_finns_i_butiken_for_omg_leverans/1001366541
MT-03,74900,2024,1001364652,0,/annons/stockholm/yamaha_mt_03_finns_i_butiken_for_omg_leverans/1001364652
MT-03,74900,2024,1001263263,0,/annons/varmland/yamaha_mt_03/1001263263
MT-03,74900,2024,87562322,0,/annons/alvsborg/yamaha_mt_03_boka_din_2024_nu_/87562322
MT-03,74900,2024,1001127311,0,/annons/stockholm/yamaha_mt_03_bestallningsvara_/1001127311
MT-03,69900,2024,1000726251,0,/annons/kronoberg/yamaha_mt_03_rantekampanj_5_95_/1000726251
MT-03,30000,2006,1401223752,0,/annons/goteborg/yamaha_mt03_2006_a2_/1401223752
MT-03,74900,2024,1000628360,0,/annons/vastmanland/yamaha_mt03_abs_nyhet/1000628360
MT-03,74900,2024,1000673750,0,/annons/skane/yamaha_mt_03_abs/1000673750
MT-07,68500,2021,1401249787,0,/annons/alvsborg/yamaha_mt_07_lagmilad_2021/1401249787
MT-07,69000,2021,1401160625,0,/annons/halland/yamaha_mt_07_2021/1401160625
MT-07,73900,2023,1401205146,0,/annons/varmland/yamaha_mt_07_lagmilad/1401205146
MT-07,55000,2015,1401247897,0,/annons/varmland/yamaha_mt_07_abs_akrapovic/1401247897
MT-07,81900,2023,1001686187,0,/annons/kronoberg/yamaha_mt_07_rantekampanj_5_95_/1001686187
MT-07,73900,2022,1001674891,0,/annons/goteborg/yamaha_mt_07/1001674891
MT-07,69900,2020,1001598267,0,/annons/goteborg/yamaha_mt_07_svart/1001598267
MT-07,85900,2024,1001778724,0,/annons/skane/yamaha_mt_07_36_man_rantefritt/1001778724
MT-07,86900,2024,87562144,0,/annons/alvsborg/yamaha_mt_07_spara_6000_kr_omgaende_lev_1_ex_kvar/87562144
MT-07,61000,2016,1401157473,0,/annons/goteborg/yamaha_mt_07_endast_450mil/1401157473
MT-07,50000,2014,1401240938,0,/annons/goteborg/yamaha_mt_07_a2/1401240938
MT-07,80000,2022,1401218697,0,/annons/jonkoping/yamaha_mt_07_stuntkittad_passa_pa_/1401218697
MT-07,74900,2023,1001775123,0,/annons/stockholm/yamaha_mt_07_laga_mil_nyservad/1001775123
MT-07,82900,2023,1001774986,0,/annons/kronoberg/yamaha_mt_07_tech_black_demo/1001774986
MT-07,59900,2016,1001774895,0,/annons/halland/yamaha_mt_07_abs_743_mil/1001774895
MT-07,54900,2015,1001774450,0,/annons/kalmar/yamaha_mt_07_abs_alternativ_1_mc/1001774450
MT-07,75900,2022,1001774233,0,/annons/jonkoping/yamaha_mt_07_35kw_2022_utrustad/1001774233
MT-07,45000,2015,1401239737,0,/annons/alvsborg/mt_07_a2/1401239737
MT-07,86900,2024,1001722444,0,/annons/stockholm/yamaha_mt_07_omgaende_leverans/1001722444
MT-07,52000,2015,1401189327,0,/annons/stockholm/yamaha_mt_07/1401189327
MT-07,75000,2022,1401113110,0,/annons/skane/yamaha_mt_07_i_nyskick_/1401113110
MT-07,52000,2014,1401235593,0,/annons/skane/yamaha_mt_07/1401235593
MT-07,50000,2016,1401234817,0,/annons/skane/yamaha_mt_07/1401234817
MT-07,73000,2022,1401234208,0,/annons/stockholm/yamaha_mt_07_2022/1401234208
MT-07,55000,2014,1401196571,0,/annons/stockholm/yamaha_mt_07_/1401196571
MT-07,55000,2017,1401232995,0,/annons/stockholm/yamaha_mt_07_2017/1401232995
MT-07,58500,2016,1401230174,0,/annons/stockholm/yamaha_mt_07_sport_avgassystem_abs_/1401230174
